PDBID	SCIENTIFIC_ORGANISM	EC_NUMBER	
2weh	Homo sapiens 	4.2.1.1	
2weg	Homo sapiens 	4.2.1.1	
1cao	Homo sapiens 	4.2.1.1	
3pcv	Homo sapiens 	4.4.1.20	
1can	Homo sapiens 	4.2.1.1	
6ca2	Homo sapiens 	4.2.1.1	
1cam	Homo sapiens 	4.2.1.1	
1cal	Homo sapiens 	4.2.1.1	
1cak	Homo sapiens 	4.2.1.1	
1caj	Homo sapiens 	4.2.1.1	
1cai	Homo sapiens 	4.2.1.1	
1cah	Homo sapiens 	4.2.1.1	
2rkb	Homo sapiens 	4.3.1.17	
2rkb	Homo sapiens 	4.3.1.19	
3hcr	Homo sapiens 	4.99.1.1	
2geh	Homo sapiens 	4.2.1.1	
3hcp	Homo sapiens 	4.99.1.1	
2o3h	Homo sapiens 	4.2.99.18	
3hco	Homo sapiens 	4.99.1.1	
3hcn	Homo sapiens 	4.99.1.1	
3kig	Homo sapiens 	4.2.1.1	
2w2j	Homo sapiens 	4.2.1.1	
3vp6	Homo sapiens 	4.1.1.15	
2px6	Homo sapiens 	4.2.1.59	
3k7k	Homo sapiens 	4.2.1.1	
3p29	Homo sapiens 	4.2.1.1	
3c7p	Homo sapiens 	4.2.1.1	
3p25	Homo sapiens 	4.2.1.1	
1ald	Homo sapiens 	4.1.2.13	
1ikt	Homo sapiens 	4.2.1.107	
1ikt	Homo sapiens 	4.2.1.119	
3h0w	Homo sapiens 	4.1.1.50	
1ca3	Homo sapiens 	4.2.1.1	
3h0v	Homo sapiens 	4.1.1.50	
1ca2	Homo sapiens 	4.2.1.1	
2jis	Homo sapiens 	4.1.1.29	
1am6	Homo sapiens 	4.2.1.1	
2wd3	Homo sapiens 	4.2.1.1	
1n3c	Homo sapiens 	4.2.99.18	
1i9q	Homo sapiens 	4.2.1.1	
2wd2	Homo sapiens 	4.2.1.1	
1i9p	Homo sapiens 	4.2.1.1	
1n3a	Homo sapiens 	4.2.99.18	
1i9o	Homo sapiens 	4.2.1.1	
3s78	Homo sapiens 	4.2.1.1	
1i9n	Homo sapiens 	4.2.1.1	
3s77	Homo sapiens 	4.2.1.1	
4gll	Homo sapiens 	4.1.1.35	
1i9m	Homo sapiens 	4.2.1.1	
3s76	Homo sapiens 	4.2.1.1	
1i9l	Homo sapiens 	4.2.1.1	
3s75	Homo sapiens 	4.2.1.1	
3s74	Homo sapiens 	4.2.1.1	
3s73	Homo sapiens 	4.2.1.1	
2hw5	Homo sapiens 	4.2.1.17	
3s72	Homo sapiens 	4.2.1.1	
3s5o	Homo sapiens 	4.1.3.16	
3s71	Homo sapiens 	4.2.1.1	
3s5n	Homo sapiens 	4.1.3.16	
2j91	Homo sapiens 	4.3.2.2	
2gd8	Homo sapiens 	4.2.1.1	
1i8z	Homo sapiens 	4.2.1.1	
1f2w	Homo sapiens 	4.2.1.1	
1dpt	Homo sapiens 	4.1.1.84	
1qip	Homo sapiens 	4.4.1.5	
1qin	Homo sapiens 	4.4.1.5	
2xsx	Homo sapiens 	4.2.1.11	
1n39	Homo sapiens 	4.2.99.18	
2jgy	Homo sapiens 	4.1.1.23	
3dz7	Homo sapiens 	4.1.1.50	
2psn	Homo sapiens 	4.2.1.11	
3dz6	Homo sapiens 	4.1.1.50	
3dz5	Homo sapiens 	4.1.1.50	
1i91	Homo sapiens 	4.2.1.1	
3dz4	Homo sapiens 	4.1.1.50	
3lxe	Homo sapiens 	4.2.1.1	
1i90	Homo sapiens 	4.2.1.1	
3dz3	Homo sapiens 	4.1.1.50	
1i7m	Homo sapiens 	4.1.1.50	
3dz2	Homo sapiens 	4.1.1.50	
1i7c	Homo sapiens 	4.1.1.50	
1i7b	Homo sapiens 	4.1.1.50	
1rze	Homo sapiens 	4.2.1.1	
2jfk	Homo sapiens 	4.2.1.59	
1rzd	Homo sapiens 	4.2.1.1	
1rzc	Homo sapiens 	4.2.1.1	
1rzb	Homo sapiens 	4.2.1.1	
1rza	Homo sapiens 	4.2.1.1	
2jfd	Homo sapiens 	4.2.1.59	
3aqi	Homo sapiens 	4.99.1.1	
3tvo	Homo sapiens 	4.2.1.1	
3tvn	Homo sapiens 	4.2.1.1	
2b69	Homo sapiens 	4.1.1.35	
1bzm	Homo sapiens 	4.2.1.1	
2hre	Homo sapiens 	4.99.1.1	
2hrc	Homo sapiens jm109	4.99.1.1	
1i79	Homo sapiens 	4.1.1.50	
1i72	Homo sapiens 	4.1.1.50	
3v7x	Homo sapiens 	4.2.1.1	
2b3y	Homo sapiens 	4.2.1.3	
3f8e	Homo sapiens 	4.2.1.1	
2b3x	Homo sapiens 	4.2.1.3	
3dvd	Homo sapiens 	4.2.1.1	
3dvc	Homo sapiens 	4.2.1.1	
3dvb	Homo sapiens 	4.2.1.1	
3k34	Homo sapiens 	4.2.1.1	
3f7u	Homo sapiens 	4.2.1.1	
3sbi	Homo sapiens 	4.2.1.1	
3sbh	Homo sapiens 	4.2.1.1	
3sax	Homo sapiens 	4.2.1.1	
3f7b	Homo sapiens 	4.2.1.1	
2pow	Homo sapiens 	4.2.1.1	
1t9n	Homo sapiens 	4.2.1.1	
2pov	Homo sapiens 	4.2.1.1	
2pou	Homo sapiens 	4.2.1.1	
3sap	Homo sapiens 	4.2.1.1	
3dv7	Homo sapiens 	4.2.1.1	
1ydd	Homo sapiens 	4.2.1.1	
1ydc	Homo sapiens 	4.2.1.1	
1ydb	Homo sapiens 	4.2.1.1	
1yda	Homo sapiens 	4.2.1.1	
3kan	Homo sapiens BL-21	4.1.1.84	
1if9	Homo sapiens 	4.2.1.1	
1if8	Homo sapiens 	4.2.1.1	
1if7	Homo sapiens 	4.2.1.1	
2kuo	Homo sapiens 	4.2.99.18	
1if6	Homo sapiens 	4.2.1.1	
1if5	Homo sapiens 	4.2.1.1	
1if4	Homo sapiens 	4.2.1.1	
3gzd	Homo sapiens 	4.4.1.16	
3gzc	Homo sapiens 	4.4.1.16	
3v5g	Homo sapiens 	4.2.1.1	
3oys	Homo sapiens 	4.2.1.1	
8ca2	Homo sapiens 	4.2.1.1	
2cw6	Homo sapiens 	4.1.3.4	
3oyq	Homo sapiens 	4.2.1.1	
2hoc	Homo sapiens 	4.2.1.1	
3caj	Homo sapiens 	4.2.1.1	
2pno	Homo sapiens 	4.4.1.20	
2pnj	Homo sapiens 	4.99.1.1	
1a42	Homo sapiens 	4.2.1.1	
1oq5	Homo sapiens 	4.2.1.1	
2po7	Homo sapiens 	4.99.1.1	
2hnc	Homo sapiens 	4.2.1.1	
2po5	Homo sapiens 	4.99.1.1	
3f4x	Homo sapiens 	4.2.1.1	
3n4b	Homo sapiens 	4.2.1.1	
3gz0	Homo sapiens 	4.2.1.1	
1thk	Homo sapiens 	4.2.1.1	
3v3j	Homo sapiens 	4.2.1.1	
3v3i	Homo sapiens 	4.2.1.1	
3v3h	Homo sapiens 	4.2.1.1	
3v3g	Homo sapiens 	4.2.1.1	
3ca2	Homo sapiens 	4.2.1.1	
3v3f	Homo sapiens 	4.2.1.1	
1d7k	Homo sapiens 	4.1.1.17	
3oy0	Homo sapiens 	4.2.1.1	
3n3j	Homo sapiens 	4.2.1.1	
1jv0	Homo sapiens 	4.2.1.1	
2nxt	Homo sapiens 	4.2.1.1	
2nxs	Homo sapiens 	4.2.1.1	
2nxr	Homo sapiens 	4.2.1.1	
3v2m	Homo sapiens 	4.2.1.1	
1bv3	Homo sapiens 	4.2.1.1	
3v2j	Homo sapiens 	4.2.1.1	
1zsc	Homo sapiens 	4.2.1.1	
1zsb	Homo sapiens 	4.2.1.1	
1zsa	Homo sapiens 	4.2.1.1	
3n2p	Homo sapiens 	4.2.1.1	
1th9	Homo sapiens 	4.2.1.1	
3gvw	Homo sapiens 	4.1.1.37	
1lgd	Homo sapiens 	4.2.1.1	
3gvv	Homo sapiens 	4.1.1.37	
2nwz	Homo sapiens 	4.2.1.1	
3gvr	Homo sapiens 	4.1.1.37	
2nwy	Homo sapiens 	4.2.1.1	
3gvq	Homo sapiens 	4.1.1.37	
2nwp	Homo sapiens 	4.2.1.1	
2nwo	Homo sapiens 	4.2.1.1	
