PDBID	SCIENTIFIC_ORGANISM	EC_NUMBER	
2h04	Homo sapiens 	3.1.3.48	
2flr	Homo sapiens 	3.4.21.21	
2h03	Homo sapiens 	3.1.3.48	
2h02	Homo sapiens 	3.1.3.48	
3o9m	Homo sapiens 	3.1.1.8	
1xsc	Homo sapiens 	3.6.1.17	
3tf3	Homo sapiens 	3.5.3.1	
3o9l	Homo sapiens 	3.4.23.15	
1xsb	Homo sapiens 	3.6.1.17	
1xsa	Homo sapiens 	3.6.1.17	
3mwi	Homo sapiens 	3.4.21.73	
3zr1	Homo sapiens 	3.6.1.55	
3zr1	Homo sapiens 	3.6.1.56	
3zr0	Homo sapiens 	3.6.1.55	
3zr0	Homo sapiens 	3.6.1.56	
1emj	Homo sapiens 	3.2.2.27	
1kyn	Homo sapiens 	3.4.21.20	
1xt9	Homo sapiens 	3.4.22.68	
1emh	Homo sapiens 	3.2.2.27	
2flb	Homo sapiens 	3.4.21.21	
2yqp	Homo sapiens 	3.6.4.13	
1z68	Homo sapiens 	3.4.21	
2ys1	Homo sapiens 	3.6.5.5	
2ys0	Homo sapiens 	3.1.4.1	
2ys0	Homo sapiens 	3.6.1.9	
1rh0	Homo sapiens 	3.1.4	
1rfn	Homo sapiens 	3.4.21.22	
1z4q	Homo sapiens 	3.1.3	
3gjt	Homo sapiens 	3.4.22.56	
1z4p	Homo sapiens 	3.1.3	
3gjs	Homo sapiens 	3.4.22.56	
3gjr	Homo sapiens 	3.4.22.56	
1rfi	Homo sapiens 	3.1.4	
3gjq	Homo sapiens 	3.4.22.56	
1z4m	Homo sapiens 	3.1.3	
1z4l	Homo sapiens 	3.1.3	
1rff	Homo sapiens 	3.1.4	
1z4k	Homo sapiens 	3.1.3	
1z4j	Homo sapiens 	3.1.3	
1z4i	Homo sapiens 	3.1.3	
2fm5	Homo sapiens 	3.1.4.17	
1elv	Homo sapiens 	3.4.21.42	
2fm0	Homo sapiens 	3.1.4.17	
1g05	Homo sapiens 	3.4.24.17	
1rez	Homo sapiens 	3.2.1.17	
1rey	Homo sapiens 	3.2.1.17	
1rex	Homo sapiens 	3.2.1.17	
2ypu	Homo sapiens 	3.4.24.56	
2ypt	Homo sapiens 	3.4.24.84	
2lwe	Homo sapiens 	3.6.4.13	
1xs7	Homo sapiens 	3.4.23.46	
1rg2	Homo sapiens 	3.1.4	
2lwd	Homo sapiens 	3.6.4.13	
1rg1	Homo sapiens 	3.1.4	
1rem	Homo sapiens 	3.2.1.17	
3gis	Homo sapiens 	3.4.21.5	
2fju	Homo sapiens 	3.1.4.11	
1z3j	Homo sapiens 	3.4.24.65	
3o95	Homo sapiens 	3.4.14.5	
2fjp	Homo sapiens 	3.4.14.5	
2fjn	Homo sapiens 	3.1.3.48	
2fjm	Homo sapiens 	3.1.3.48	
4azy	Homo sapiens 	3.4.23.46	
3gic	Homo sapiens 	3.4.21.5	
1kwm	Homo sapiens 	3.4.17.2	
2lva	Homo sapiens 	3.4.19.12	
2fix	Homo sapiens 	3.1.3.11	
2fit	Homo sapiens 	3.6.1.29	
3ghn	Homo sapiens 	3.4.24.87	
3ghm	Homo sapiens 	3.4.24.87	
2fir	Homo sapiens 	3.4.21.21	
3mtn	Homo sapiens 	3.4.19.12	
4ayy	Homo sapiens 	3.4.21.5	
1ejn	Homo sapiens 	3.4.21.73	
4ayv	Homo sapiens 	3.4.21.5	
3mtg	Homo sapiens 	3.3.1.1	
1xoz	Homo sapiens 	3.1.4.35	
2fie	Homo sapiens 	3.1.3.11	
1kvo	Homo sapiens 	3.1.1.4	
3mtc	Homo sapiens 	3.1.3.36	
1re2	Homo sapiens 	3.2.1.17	
1kvj	Homo sapiens 	3.6.3.4	
1re1	Homo sapiens 	3.4.22.56	
1xot	Homo sapiens 	3.1.4.17	
1kvi	Homo sapiens 	3.6.3.4	
1xos	Homo sapiens 	3.1.4.17	
4ayk	Homo sapiens BL21 (DE3)	3.4.24.7	
1xor	Homo sapiens 	3.1.4.17	
1xoq	Homo sapiens 	3.1.4.17	
1z32	Homo sapiens 	3.2.1.1	
3msx	Homo sapiens 	3.6.5.2	
2fhy	Homo sapiens 	3.1.3.11	
3o5x	Homo sapiens 	3.1.3.48	
1xon	Homo sapiens 	3.1.4.17	
3ggr	Homo sapiens 	3.1.11.2	
1xom	Homo sapiens 	3.1.4.17	
1z1l	Homo sapiens 	3.1.4.17	
3msl	Homo sapiens 	3.4.23.46	
3tb3	Homo sapiens 	3.4.19.12	
3msk	Homo sapiens 	3.4.23.46	
3msj	Homo sapiens 	3.4.23.46	
2fhi	Homo sapiens 	3.6.1.29	
1m7r	Homo sapiens 	3.1.3.64	
4az3	Homo sapiens 	3.4.16.5	
4az2	Homo sapiens 	3.4.21.5	
4heu	Homo sapiens 	3.1.4.17	
4heu	Homo sapiens 	3.1.4.35	
1rd3	Homo sapiens 	3.4.21.5	
4az0	Homo sapiens 	3.4.16.5	
1xp0	Homo sapiens 	3.1.4.35	
3o4u	Homo sapiens 	3.1.3.48	
3o4t	Homo sapiens 	3.1.3.48	
3o4s	Homo sapiens 	3.1.3.48	
3o65	Homo sapiens 	3.4.19.12	
3o64	Homo sapiens 	3.4.24.86	
4axb	Homo sapiens 	3.1.1.8	
1ktt	Homo sapiens 	3.4.21.5	
1kts	Homo sapiens 	3.4.21.5	
1xmy	Homo sapiens 	3.1.4.17	
4awq	Homo sapiens 	3.6.4.10	
4ay2	Homo sapiens 	3.6.4.13	
4awp	Homo sapiens 	3.6.4.10	
4awo	Homo sapiens 	3.6.4.10	
1xmu	Homo sapiens 	3.1.4.17	
4awn	Homo sapiens 	3.1.21.1	
4hf4	Homo sapiens 	3.1.4.17	
4hf4	Homo sapiens 	3.1.4.35	
2ylm	Homo sapiens 	3.4.19.12	
3gg6	Homo sapiens 	3.6.1.58	
1m6d	Homo sapiens 	3.4.22.41	
1xmn	Homo sapiens 	3.4.21.5	
1xmm	Homo sapiens 	3.6.1.59	
1xml	Homo sapiens 	3.6.1.59	
3o57	Homo sapiens 	3.1.4.17	
1xmk	Homo sapiens 	3.5.4	
2fh7	Homo sapiens 	3.1.3.48	
3o56	Homo sapiens 	3.1.4.17	
1xmj	Homo sapiens 	3.6.3.49	
3mqs	Homo sapiens 	3.4.19.12	
1xmi	Homo sapiens 	3.6.3.49	
3mqr	Homo sapiens human	3.4.19.12	
2ffq	Homo sapiens 	3.6.1	
2lrr	Homo sapiens 	3.6.4.12	
2lrr	Homo sapiens 	3.6.4.13	
4hda	Homo sapiens 	3.5.1	
4ax9	Homo sapiens 	3.4.21.5	
3geb	Homo sapiens 	3.1.3.48	
1xlz	Homo sapiens 	3.1.4.17	
1ksn	Homo sapiens 	3.4.21.6	
1xlx	Homo sapiens 	3.1.4.17	
1xlw	Homo sapiens 	3.1.1.8	
1xlv	Homo sapiens 	3.1.1.8	
1xlu	Homo sapiens 	3.1.1.8	
1ksj	Homo sapiens 	3.1.4.17	
1ksh	Homo sapiens 	3.1.4.17	
1xn3	Homo sapiens 	3.4.23.46	
1ksg	Homo sapiens 	3.1.4.17	
1xn2	Homo sapiens 	3.4.23.46	
3o2x	Homo sapiens 	3.4.24	
1xn0	Homo sapiens 	3.1.4.17	
1z00	Homo sapiens 	3.1	
2ykg	Homo sapiens 	3.6.4.13	
3o2s	Homo sapiens 	3.1.3.16	
2fes	Homo sapiens 	3.4.21.5	
3o2q	Homo sapiens 	3.1.3.16	
3b9f	Homo sapiens 	3.4.21.5	
2feq	Homo sapiens 	3.4.21.5	
3mpf	Homo sapiens 	3.4.22.27	
4aw6	Homo sapiens 	3.4.24.84	
3b8z	Homo sapiens 	3.4.24	
3mpe	Homo sapiens 	3.4.22.27	
1m63	Homo sapiens 	3.1.3.16	
4hd8	Homo sapiens 	3.5.1	
1krn	Homo sapiens 	3.4.21.7	
2feb	Homo sapiens 	3.4.21	
4auo	Homo sapiens 	3.4.24.7	
1xm6	Homo sapiens 	3.1.4.17	
1xkt	Homo sapiens 	3.1.2.14	
3gcx	Homo sapiens 	3.4.21	
3gcw	Homo sapiens 	3.4.21	
1m4h	Homo sapiens 	3.4.23.46	
1xm4	Homo sapiens 	3.1.4.17	
1xm2	Homo sapiens 	3.1.3.48	
2a9u	Homo sapiens 	3.4.19.12	
1xm1	Homo sapiens 	3.4.21.5	
3mow	Homo sapiens 	3.1.3.48	
2yjc	Homo sapiens 	3.4.22.15	
2yjb	Homo sapiens 	3.4.22.15	
2fdp	Homo sapiens 	3.4.23.46	
2a9j	Homo sapiens 	3.1.3.13	
1xkb	Homo sapiens 	3.4.21.6	
1xka	Homo sapiens 	3.4.21.6	
1kqu	Homo sapiens 	3.1.1.4	
1eeo	Homo sapiens 	3.1.3.48	
3o1g	Homo sapiens 	3.4.22.38	
1een	Homo sapiens 	3.1.3.48	
1ks0	Homo sapiens 	3.4.24.24	
2fda	Homo sapiens 	3.4.21.27	
3b7u	Homo sapiens 	3.3.2.6	
3b7t	Homo sapiens 	3.3.2.6	
3b7s	Homo sapiens 	3.3.2.6	
3b7r	Homo sapiens 	3.3.2.6	
3gd7	Homo sapiens 	3.6.3.19	
3gd7	Homo sapiens 	3.6.3.49	
3b92	Homo sapiens 	3.4.24.86	
1m3g	Homo sapiens 	3.1.3.16	
1m3g	Homo sapiens 	3.1.3.48	
3b7o	Homo sapiens 	3.1.3.48	
2yig	Homo sapiens 	3.4.24	
3o0u	Homo sapiens 	3.4.22.38	
3b7k	Homo sapiens 	3.1.2.1	
2loz	Homo sapiens 	3.1.3	
3o0t	Homo sapiens 	3.1.3.16	
4hai	Homo sapiens 	3.1.3.76	
4hai	Homo sapiens 	3.3.2.10	
3b7g	Homo sapiens 	3.6.4.13	
2fe4	Homo sapiens 	3.6.1	
2a8m	Homo sapiens 	3.4.25	
2a8l	Homo sapiens 	3.4.25	
2a8j	Homo sapiens 	3.4.25	
1ef7	Homo sapiens 	3.4.18.1	
2a8i	Homo sapiens 	3.4.25	
2a8h	Homo sapiens 	3.4.24.86	
3o0j	Homo sapiens 	3.1.4.17	
2yhy	Homo sapiens 	3.2.1.183	
2yj9	Homo sapiens 	3.4.22.15	
2yhw	Homo sapiens 	3.2.1.183	
2yj8	Homo sapiens 	3.4.22.15	
1edm	Homo sapiens RZ1032, XL1-BLUE, MC1061	3.4.21.22	
2a8b	Homo sapiens 	3.1.3.48	
2yj2	Homo sapiens 	3.4.22.15	
2fby	Homo sapiens 	3.6.4.12	
2fbx	Homo sapiens 	3.6.4.12	
2fbv	Homo sapiens 	3.6.4.12	
2fbt	Homo sapiens 	3.6.4.12	
