PDBID	SCIENTIFIC_ORGANISM	EC_NUMBER	
2vd1	Homo sapiens 	5.3.99.2	
2xp8	Homo sapiens 	5.2.1.8	
2vd0	Homo sapiens 	5.3.99.2	
1mek	Homo sapiens 	5.3.4.1	
2f2d	Homo sapiens 	5.2.1.8	
2xp7	Homo sapiens 	5.2.1.8	
2xp6	Homo sapiens 	5.2.1.8	
2xp5	Homo sapiens 	5.2.1.8	
3b6h	Homo sapiens 	5.3.99.4	
2xp4	Homo sapiens 	5.2.1.8	
2xp3	Homo sapiens 	5.2.1.8	
3nfy	Homo sapiens 	5.4.2.1	
3nfy	Homo sapiens 	5.4.2.4	
2hq6	Homo sapiens 	5.2.1.8	
2cvd	Homo sapiens 	5.3.99.2	
1tl8	Homo sapiens 	5.99.1.2	
2pny	Homo sapiens 	5.3.3.2	
2gw2	Homo sapiens 	5.2.1.8	
1mf8	Homo sapiens 	5.2.1.8	
1i3n	Homo sapiens 	5.1.3.2	
3cys	Homo sapiens 	5.2.1.8	
1i3m	Homo sapiens 	5.1.3.2	
1i3l	Homo sapiens 	5.1.3.2	
1i3k	Homo sapiens 	5.1.3.2	
1ljt	Homo sapiens 	5.3.2.1	
1ljt	Homo sapiens 	5.3.3.12	
3r4g	Homo sapiens 	5.2.1.8	
1t8p	Homo sapiens 	5.4.2.1	
1t8p	Homo sapiens 	5.4.2.4	
3cyh	Homo sapiens 	5.2.1.8	
1t8i	Homo sapiens 	5.99.1.2	
3kxo	Homo sapiens 	5.3.99.2	
3r59	Homo sapiens 	5.2.1.8	
3r57	Homo sapiens 	5.2.1.8	
3r56	Homo sapiens 	5.2.1.8	
3r54	Homo sapiens 	5.2.1.8	
2f21	Homo sapiens 	5.2.1.8	
2i6k	Homo sapiens 	5.3.3.2	
1pin	Homo sapiens 	5.2.1.8	
2fap	Homo sapiens 	5.2.1.8	
2ku7	Homo sapiens 	5.2.1.8	
3ikg	Homo sapiens 	5.2.1.8	
3ikd	Homo sapiens 	5.2.1.8	
1snz	Homo sapiens 	5.1.3.3	
3r49	Homo sapiens 	5.2.1.8	
1q1c	Homo sapiens 	5.2.1.8	
2q5a	Homo sapiens HELA	5.2.1.8	
3rdd	Homo sapiens 	5.2.1.8	
1nuh	Homo sapiens 	5.3.1.9	
3rdc	Homo sapiens 	5.2.1.8	
3rdb	Homo sapiens 	5.2.1.8	
3rda	Homo sapiens 	5.2.1.8	
3lpy	Homo sapiens 	5.2.1.8	
2dmm	Homo sapiens 	5.3.4.1	
3ovr	Homo sapiens 	5.1.3.1	
3ovq	Homo sapiens 	5.1.3.1	
2q4r	Homo sapiens 	5.4.2.8	
1fw1	Homo sapiens 	5.2.1.2	
3ovp	Homo sapiens 	5.1.3.1	
1a36	Homo sapiens 	5.99.1.2	
1a35	Homo sapiens 	5.99.1.2	
3uip	Homo sapiens 	5.2.1.8	
3uio	Homo sapiens 	5.2.1.8	
3ijj	Homo sapiens 	5.3.2.1	
3ijj	Homo sapiens 	5.3.3.12	
3uin	Homo sapiens 	5.2.1.8	
1a31	Homo sapiens 	5.99.1.2	
3ijg	Homo sapiens 	5.3.2.1	
3ijg	Homo sapiens 	5.3.3.12	
3rcl	Homo sapiens 	5.2.1.8	
3rck	Homo sapiens 	5.2.1.8	
1mzw	Homo sapiens 	5.2.1.8	
1d7j	Homo sapiens 	5.2.1.8	
3rci	Homo sapiens 	5.2.1.8	
1d7i	Homo sapiens 	5.2.1.8	
1d7h	Homo sapiens 	5.2.1.8	
3rcg	Homo sapiens 	5.2.1.8	
3rcf	Homo sapiens 	5.2.1.8	
3ik8	Homo sapiens 	5.2.1.8	
1so0	Homo sapiens 	5.1.3.3	
3rd9	Homo sapiens 	5.2.1.8	
1iat	Homo sapiens 	5.3.1.9	
1x5d	Homo sapiens 	5.3.4.1	
1x5c	Homo sapiens 	5.3.4.1	
1d6o	Homo sapiens 	5.2.1.8	
2jwx	Homo sapiens MCF-7	5.2.1.8	
1p5q	Homo sapiens 	5.2.1.8	
3hof	Homo sapiens 	5.3.2.1	
3hof	Homo sapiens 	5.3.3.12	
1nsg	Homo sapiens 	5.2.1.8	
2cqu	Homo sapiens 	5.3.3.8	
3ui6	Homo sapiens 	5.2.1.8	
4cyh	Homo sapiens 	5.2.1.8	
3ui5	Homo sapiens 	5.2.1.8	
1rrp	Homo sapiens 	5.2.1.8	
3ui4	Homo sapiens 	5.2.1.8	
1iyi	Homo sapiens 	5.3.99.2	
2xiq	Homo sapiens 	5.4.99.2	
1iyh	Homo sapiens 	5.3.99.2	
1rrj	Homo sapiens 	5.99.1.2	
1eym	Homo sapiens 	5.2.1.8	
1qz2	Homo sapiens 	5.2.1.8	
2cqb	Homo sapiens 	5.2.1.8	
2xij	Homo sapiens 	5.4.99.2	
4drq	Homo sapiens 	5.2.1.8	
2d9f	Homo sapiens 	5.2.1.8	
4drp	Homo sapiens 	5.2.1.8	
4dro	Homo sapiens 	5.2.1.8	
4drn	Homo sapiens 	5.2.1.8	
4drm	Homo sapiens 	5.2.1.8	
4drk	Homo sapiens 	5.2.1.8	
4drj	Homo sapiens 	5.2.1.8	
2ooz	Homo sapiens 	5.3.2.1	
2ooz	Homo sapiens 	5.3.3.12	
4dri	Homo sapiens 	5.2.1.8	
4drh	Homo sapiens 	5.2.1.8	
4ga0	Homo sapiens 	5.2.1.8	
2oow	Homo sapiens 	5.3.2.1	
2oow	Homo sapiens 	5.3.3.12	
2x7k	Homo sapiens 	5.2.1.8	
3i6c	Homo sapiens 	5.2.1.8	
2h8l	Homo sapiens 	5.3.4.1	
2cpl	Homo sapiens 	5.2.1.8	
3fap	Homo sapiens 	5.2.1.8	
4i9y	Homo sapiens 	5.2.1.8	
2ick	Homo sapiens 	5.3.3.2	
2a2n	Homo sapiens 	5.2.1.8	
2icj	Homo sapiens 	5.3.3.2	
2ooh	Homo sapiens 	5.3.2.1	
2ooh	Homo sapiens 	5.3.3.12	
3jyj	Homo sapiens 	5.2.1.8	
1w8v	Homo sapiens 	5.2.1.8	
1rr8	Homo sapiens 	5.99.1.2	
2xgy	Homo sapiens 	5.2.1.8	
1w8m	Homo sapiens 	5.2.1.8	
1w8l	Homo sapiens 	5.2.1.8	
2fue	Homo sapiens 	5.4.2.8	
3uem	Homo sapiens 	5.3.4.1	
2fuc	Homo sapiens 	5.4.2.8	
1awv	Homo sapiens 	5.2.1.8	
1awu	Homo sapiens 	5.2.1.8	
1awt	Homo sapiens 	5.2.1.8	
1aws	Homo sapiens 	5.2.1.8	
1awr	Homo sapiens 	5.2.1.8	
1awq	Homo sapiens 	5.2.1.8	
2hhj	Homo sapiens 	5.4.2.1	
2hhj	Homo sapiens 	5.4.2.4	
4al1	Homo sapiens 	5.3.99.3	
4al0	Homo sapiens 	5.3.99.3	
2dho	Homo sapiens 	5.3.3.2	
4f2k	Homo sapiens 	5.3.2.1	
4f2k	Homo sapiens 	5.3.3.12	
1c9h	Homo sapiens 	5.2.1.8	
2ian	Homo sapiens 	5.3.1.1	
2iam	Homo sapiens 	5.3.1.1	
2rse	Homo sapiens 	5.2.1.8	
2iag	Homo sapiens 	5.3.99.4	
3mdy	Homo sapiens 	5.2.1.8	
1p1g	Homo sapiens BL21(DE3)	5.3.2.1	
1p1g	Homo sapiens BL21(DE3)	5.3.3.12	
3h9r	Homo sapiens 	5.2.1.8	
3idv	Homo sapiens 	5.3.4.1	
5cyh	Homo sapiens 	5.2.1.8	
1gif	Homo sapiens 	5.3.2.1	
1gif	Homo sapiens 	5.3.3.12	
1pbk	Homo sapiens 	5.2.1.8	
2vre	Homo sapiens 	5.3.3	
3mdf	Homo sapiens 	5.2.1.8	
1w6k	Homo sapiens 	5.4.99.7	
1w6j	Homo sapiens 	5.4.99.7	
2zqv	Homo sapiens 	5.2.1.8	
2zqu	Homo sapiens 	5.2.1.8	
2zqt	Homo sapiens 	5.2.1.8	
2zqs	Homo sapiens 	5.2.1.8	
3uch	Homo sapiens 	5.2.1.8	
2h4z	Homo sapiens 	5.4.2.1	
2h4z	Homo sapiens 	5.4.2.4	
2h4x	Homo sapiens 	5.4.2.1	
2h4x	Homo sapiens 	5.4.2.4	
3dji	Homo sapiens 	5.3.2.1	
3dji	Homo sapiens 	5.3.3.12	
1zmf	Homo sapiens 	5.2.1.8	
3djh	Homo sapiens 	5.3.2.1	
3djh	Homo sapiens 	5.3.3.12	
2ixm	Homo sapiens 	5.2.1.8	
4fap	Homo sapiens BL21 (DE3) (NOVAGEN)	5.2.1.8	
1nmw	Homo sapiens 	5.2.1.8	
1nmv	Homo sapiens 	5.2.1.8	
1xyh	Homo sapiens 	5.2.1.8	
3ici	Homo sapiens 	5.2.1.8	
2zr6	Homo sapiens 	5.2.1.8	
3ich	Homo sapiens 	5.2.1.8	
3ee2	Homo sapiens 	5.3.99.2	
1rmh	Homo sapiens 	5.2.1.8	
2zr5	Homo sapiens 	5.2.1.8	
1hzj	Homo sapiens 	5.1.3.2	
2zr4	Homo sapiens 	5.2.1.8	
2dg9	Homo sapiens 	5.2.1.8	
3oob	Homo sapiens 	5.2.1.8	
1nmk	Homo sapiens 	5.2.1.8	
2dg4	Homo sapiens 	5.2.1.8	
2dg3	Homo sapiens 	5.2.1.8	
2h52	Homo sapiens 	5.4.2.1	
2h52	Homo sapiens 	5.4.2.4	
2oju	Homo sapiens 	5.2.1.8	
1cgq	Homo sapiens BL21(DE3)	5.3.2.1	
1cgq	Homo sapiens BL21(DE3)	5.3.3.12	
2x2d	Homo sapiens 	5.2.1.8	
2x2c	Homo sapiens 	5.2.1.8	
2x2a	Homo sapiens 	5.2.1.8	
3ntp	Homo sapiens 	5.2.1.8	
3jtu	Homo sapiens 	5.3.2.1	
3jtu	Homo sapiens 	5.3.3.12	
3qc3	Homo sapiens 	5.1.3.1	
3l6r	Homo sapiens 	5.1.1.18	
3u18	Homo sapiens 	5.3.2.1	
3u18	Homo sapiens 	5.3.3.12	
1seu	Homo sapiens 	5.99.1.2	
2awg	Homo sapiens 	5.2.1.8	
1sg4	Homo sapiens 	5.3.3.8	
1k4t	Homo sapiens 	5.99.1.2	
1k4s	Homo sapiens 	5.99.1.2	
1zkf	Homo sapiens 	5.2.1.8	
2vom	Homo sapiens 	5.3.1.1	
1jlh	Homo sapiens 	5.3.1.9	
1zkc	Homo sapiens 	5.2.1.8	
3l6b	Homo sapiens 	5.1.1.18	
2ok3	Homo sapiens 	5.2.1.8	
3qyu	Homo sapiens 	5.2.1.8	
1xwn	Homo sapiens 	5.2.1.8	
3smc	Homo sapiens 	5.3.2.1	
3smc	Homo sapiens 	5.3.3.12	
3smb	Homo sapiens 	5.3.2.1	
3smb	Homo sapiens 	5.3.3.12	
1iri	Homo sapiens 	5.3.1.9	
2he9	Homo sapiens 	5.2.1.8	
3l5v	Homo sapiens 	5.3.2.1	
3l5v	Homo sapiens 	5.3.3.12	
3l5u	Homo sapiens 	5.3.2.1	
3l5u	Homo sapiens 	5.3.3.12	
3l5t	Homo sapiens 	5.3.2.1	
3l5t	Homo sapiens 	5.3.3.12	
3l5s	Homo sapiens 	5.3.2.1	
3l5s	Homo sapiens 	5.3.3.12	
3l5r	Homo sapiens 	5.3.2.1	
3l5r	Homo sapiens 	5.3.3.12	
3ph9	Homo sapiens 	5.3.4.1	
3l5p	Homo sapiens 	5.3.2.1	
3l5p	Homo sapiens 	5.3.3.12	
2x25	Homo sapiens 	5.2.1.8	
3jsg	Homo sapiens 	5.3.2.1	
3jsg	Homo sapiens 	5.3.3.12	
1fkt	Homo sapiens 	5.2.1.8	
3jsf	Homo sapiens 	5.3.2.1	
3jsf	Homo sapiens 	5.3.3.12	
1fks	Homo sapiens 	5.2.1.8	
1fkr	Homo sapiens 	5.2.1.8	
2k7n	Homo sapiens 	5.2.1.8	
4edz	Homo sapiens 	5.3.99.2	
4edy	Homo sapiens 	5.3.99.2	
1fkj	Homo sapiens 	5.2.1.8	
1fki	Homo sapiens 	5.2.1.8	
1fkh	Homo sapiens 	5.2.1.8	
2pbc	Homo sapiens 	5.2.1.8	
1fkg	Homo sapiens 	5.2.1.8	
1fkf	Homo sapiens 	5.2.1.8	
1fkd	Homo sapiens 	5.2.1.8	
1fkb	Homo sapiens 	5.2.1.8	
1qpl	Homo sapiens 	5.2.1.8	
1bkf	Homo sapiens 	5.2.1.8	
1qpf	Homo sapiens 	5.2.1.8	
4e41	Homo sapiens 	5.3.1.1	
1bjx	Homo sapiens 	5.3.4.1	
2itk	Homo sapiens Hela	5.2.1.8	
1bl4	Homo sapiens 	5.2.1.8	
4ee0	Homo sapiens 	5.3.99.2	
1fjd	Homo sapiens 	5.2.1.8	
1gcz	Homo sapiens 	5.3.2.1	
1gcz	Homo sapiens 	5.3.3.12	
2rmb	Homo sapiens 	5.2.1.8	
2rma	Homo sapiens 	5.2.1.8	
4dip	Homo sapiens 	5.2.1.8	
1qoi	Homo sapiens 	5.2.1.8	
1oca	Homo sapiens 	5.2.1.8	
1jiq	Homo sapiens 	5.3.1.9	
2wfj	Homo sapiens 	5.2.1.8	
2wfi	Homo sapiens 	5.2.1.8	
3uvt	Homo sapiens 	5.3.4.1	
3tdb	Homo sapiens 	5.2.1.8	
1f8a	Homo sapiens 	5.2.1.8	
3ey6	Homo sapiens 	5.2.1.8	
2lb3	Homo sapiens 	5.2.1.8	
3tcz	Homo sapiens 	5.2.1.8	
1ynd	Homo sapiens 	5.2.1.8	
2kfv	Homo sapiens 	5.2.1.8	
3qx3	Homo sapiens 	5.99.1.3	
1eq3	Homo sapiens 	5.2.1.8	
2esl	Homo sapiens 	5.2.1.8	
1sc7	Homo sapiens 	5.99.1.2	
1gd0	Homo sapiens 	5.3.2.1	
1gd0	Homo sapiens 	5.3.3.12	
1z5s	Homo sapiens 	5.2.1.8	
2g62	Homo sapiens 	5.2.1.8	
4ec0	Homo sapiens 	5.3.99.2	
1hti	Homo sapiens 	5.3.1.1	
1wyi	Homo sapiens 	5.3.1.1	
1fgl	Homo sapiens 	5.2.1.8	
1b6c	Homo sapiens 	5.2.1.8	
2fke	Homo sapiens 	5.2.1.8	
1nh3	Homo sapiens 	5.99.1.2	
3tc5	Homo sapiens 	5.2.1.8	
4dh0	Homo sapiens 	5.2.1.8	
3rmu	Homo sapiens 	5.1.99.1	
1cyn	Homo sapiens 	5.2.1.8	
2bjx	Homo sapiens BL21 (DE3)	5.3.4.1	
1j4r	Homo sapiens 	5.2.1.8	
2r99	Homo sapiens 	5.2.1.8	
1j4i	Homo sapiens 	5.2.1.8	
3o5r	Homo sapiens 	5.2.1.8	
1j4h	Homo sapiens 	5.2.1.8	
3o5q	Homo sapiens 	5.2.1.8	
1yjx	Homo sapiens 	5.4.2.1	
1yjx	Homo sapiens 	5.4.2.4	
3o5p	Homo sapiens 	5.2.1.8	
3o5o	Homo sapiens 	5.2.1.8	
3o5m	Homo sapiens 	5.2.1.8	
2jk2	Homo sapiens 	5.3.1.1	
3o5l	Homo sapiens 	5.2.1.8	
3o5k	Homo sapiens 	5.2.1.8	
2kcf	Homo sapiens 	5.2.1.8	
3o5j	Homo sapiens 	5.2.1.8	
3o5i	Homo sapiens 	5.2.1.8	
2z6w	Homo sapiens 	5.2.1.8	
3o5g	Homo sapiens 	5.2.1.8	
3o5f	Homo sapiens 	5.2.1.8	
1ca7	Homo sapiens 	5.3.2.1	
1ca7	Homo sapiens 	5.3.3.12	
3o5e	Homo sapiens 	5.2.1.8	
1m9y	Homo sapiens 	5.2.1.8	
3o5d	Homo sapiens 	5.2.1.8	
1m9x	Homo sapiens 	5.2.1.8	
2biu	Homo sapiens 	5.2.1.8	
2bit	Homo sapiens 	5.2.1.8	
1r49	Homo sapiens 	5.99.1.2	
1v40	Homo sapiens 	5.3.99.2	
2f90	Homo sapiens 	5.4.2.1	
2f90	Homo sapiens 	5.4.2.4	
1m9f	Homo sapiens 	5.2.1.8	
1m9e	Homo sapiens 	5.2.1.8	
1m9d	Homo sapiens 	5.2.1.8	
1m9c	Homo sapiens 	5.2.1.8	
1zcn	Homo sapiens 	5.2.1.8	
1cwo	Homo sapiens 	5.2.1.8	
1cwm	Homo sapiens 	5.2.1.8	
1lpq	Homo sapiens 	5.99.1.2	
1cwl	Homo sapiens 	5.2.1.8	
1cwk	Homo sapiens 	5.2.1.8	
1cwj	Homo sapiens 	5.2.1.8	
1cwi	Homo sapiens 	5.2.1.8	
2hv7	Homo sapiens 	5.2.1.8	
1cwh	Homo sapiens 	5.2.1.8	
2hv6	Homo sapiens 	5.2.1.8	
1cwf	Homo sapiens 	5.2.1.8	
1cwc	Homo sapiens 	5.2.1.8	
1cwb	Homo sapiens 	5.2.1.8	
1cwa	Homo sapiens 	5.2.1.8	
4evg	Homo sapiens 	5.3.2.1	
4evg	Homo sapiens 	5.3.3.12	
2f6q	Homo sapiens 	5.3.3.8	
1ejf	Homo sapiens 	5.3.99.3	
1f40	Homo sapiens 	5.2.1.8	
2k18	Homo sapiens 	5.3.4.1	
1vbt	Homo sapiens 	5.2.1.8	
1vbs	Homo sapiens 	5.2.1.8	
1mik	Homo sapiens 	5.2.1.8	
2kyx	Homo sapiens 	5.2.1.8	
1mif	Homo sapiens 	5.3.2.1	
1mif	Homo sapiens 	5.3.3.12	
1ek6	Homo sapiens 	5.1.3.2	
3dww	Homo sapiens 	5.3.99.3	
1ek5	Homo sapiens 	5.1.3.2	
3odl	Homo sapiens 	5.2.1.8	
