PDBID	SCIENTIFIC_ORGANISM	EC_NUMBER	
2yhn	Homo sapiens 	6.3.2	
1mej	Homo sapiens 	6.3.3.1	
1mej	Homo sapiens 	6.3.4.13	
4hy5	Homo sapiens 	6.3.2	
4hy4	Homo sapiens 	6.3.2	
3bi7	Homo sapiens 	6.3.2	
2xp0	Homo sapiens 	6.3.2	
3ob1	Homo sapiens 	6.3.2	
4g3o	Homo sapiens 	6.3.2	
4hy0	Homo sapiens 	6.3.2	
1p9o	Homo sapiens 	6.3.2.5	
1a4i	Homo sapiens 	6.3.4.3	
2dq5	Homo sapiens 	6.3.2	
2qho	Homo sapiens 	6.3.2	
3kyd	Homo sapiens 	6.3.2	
3kyc	Homo sapiens 	6.3.2	
3pt3	Homo sapiens 	6.3.2	
3b76	Homo sapiens 	6.3.2	
1zvd	Homo sapiens 	6.3.2	
3lrq	Homo sapiens 	6.3.2	
2vze	Homo sapiens 	6.2.1.2	
1a3s	Homo sapiens 	6.3.2.19	
2qgx	Homo sapiens 	6.3.2.19	
4epo	Homo sapiens 	6.3.2.19	
1kps	Homo sapiens 	6.3.2.19	
3g03	Homo sapiens 	6.3.2	
2a7l	Homo sapiens 	6.3.2.19	
1zuo	Homo sapiens 	6.3.2.19	
1i2t	Homo sapiens 	6.3.2	
3v3l	Homo sapiens 	6.3.2	
2gv2	Homo sapiens 	6.3.2	
4hvc	Homo sapiens 	6.1.1.15	
4hvc	Homo sapiens 	6.1.1.17	
3sy2	Homo sapiens 	6.3.2.19	
2e6s	Homo sapiens 	6.3.2	
2faz	Homo sapiens 	6.3.2	
2fzp	Homo sapiens 	6.3.2	
3v3b	Homo sapiens 	6.3.2	
2pmf	Homo sapiens 	6.1.1.14	
3bg9	Homo sapiens 	6.4.1.1	
2pme	Homo sapiens 	6.1.1.14	
2y4w	Homo sapiens 	6.3.2.19	
2q5i	Homo sapiens 	6.1.1.14	
2q5h	Homo sapiens 	6.1.1.14	
3bg3	Homo sapiens 	6.4.1.1	
2dmv	Homo sapiens 	6.3.2	
2do6	Homo sapiens 	6.3.2	
2csw	Homo sapiens 	6.3.2	
2vxo	Homo sapiens 	6.3.5.2	
2zxf	Homo sapiens 	6.1.1.14	
3ff6	Homo sapiens 	6.3.4.14	
3ff6	Homo sapiens 	6.4.1.2	
2dmf	Homo sapiens 	6.3.2	
1dig	Homo sapiens 	6.3.4.3	
1rv1	Homo sapiens 	6.3.2	
1dib	Homo sapiens 	6.3.4.3	
1dia	Homo sapiens 	6.3.4.3	
4htp	Homo sapiens 	6.5.1.1	
4hto	Homo sapiens 	6.5.1.1	
2nz2	Homo sapiens 	6.3.4.5	
2dn8	Homo sapiens 	6.3.4.14	
2dn8	Homo sapiens 	6.4.1.2	
4ap4	Homo sapiens 	6.3.2.19	
2grr	Homo sapiens 	6.3.2.19	
2grq	Homo sapiens 	6.3.2.19	
2grp	Homo sapiens 	6.3.2.19	
1ntg	Homo sapiens 	6.1.1.1	
2gro	Homo sapiens 	6.3.2.19	
2grn	Homo sapiens 	6.3.2.19	
2ct2	Homo sapiens 	6.3.2	
1q11	Homo sapiens 	6.1.1.1	
3vbg	Homo sapiens Human	6.3.2	
3vbb	Homo sapiens 	6.1.1.11	
2y43	Homo sapiens 	6.3.2	
3vzv	Homo sapiens 	6.3.2	
2a4d	Homo sapiens 	6.3.2.19	
2cqy	Homo sapiens 	6.4.1.3	
2hjw	Homo sapiens 	6.3.4.14	
2hjw	Homo sapiens 	6.4.1.2	
3ehv	Homo sapiens 	6.3.2.19	
2nvu	Homo sapiens 	6.3.2	
3ihl	Homo sapiens 	6.3.4.2	
1iyf	Homo sapiens 	6.3.2.19	
2djy	Homo sapiens 	6.3.2	
1t4f	Homo sapiens 	6.3.2	
3jzs	Homo sapiens 	6.3.2	
1t4e	Homo sapiens 	6.3.2	
3jzr	Homo sapiens 	6.3.2	
