PDBID	SCIENTIFIC_ORGANISM	EC_NUMBER	
2ox0	Homo sapiens 	1.14.11	
3b96	Homo sapiens 	1.3.8.9	
1xjz	Homo sapiens 	1.14.99.3	
1eem	Homo sapiens 	1.20.4.2	
1eem	Homo sapiens 	1.8.5.1	
3ptz	Homo sapiens 	1.1.1.22	
2q8e	Homo sapiens 	1.14.11	
2q8d	Homo sapiens 	1.14.11	
2q8c	Homo sapiens 	1.14.11	
4dyz	Homo sapiens 	1.16.3.1	
4dyy	Homo sapiens 	1.16.3.1	
4dyx	Homo sapiens 	1.16.3.1	
3mng	Homo sapiens 	1.11.1.15	
3r6i	Homo sapiens 	1.1.1.112	
3r6i	Homo sapiens 	1.1.1.188	
3r6i	Homo sapiens 	1.1.1.213	
3r6i	Homo sapiens 	1.1.1.239	
3r6i	Homo sapiens 	1.1.1.64	
3r6i	Homo sapiens 	1.3.1.20	
2vd7	Homo sapiens 	1.14.11	
1xjb	Homo sapiens 	1.1.1.213	
1xjb	Homo sapiens 	1.3.1.20	
3czy	Homo sapiens 	1.14.99.3	
1ef3	Homo sapiens 	1.1.1.21	
1hl5	Homo sapiens 	1.15.1.1	
4ask	Homo sapiens 	1.14.11	
1hl4	Homo sapiens 	1.15.1.1	
3szb	Homo sapiens 	1.2.1.5	
3sza	Homo sapiens 	1.2.1.5	
3czr	Homo sapiens 	1.1.1.146	
1xk3	Homo sapiens 	1.14.99.3	
1xk2	Homo sapiens 	1.14.99.3	
3gam	Homo sapiens 	1.10.99.2	
1xk1	Homo sapiens 	1.14.99.3	
2a7r	Homo sapiens 	1.7.1.7	
1xk0	Homo sapiens 	1.14.99.3	
3czh	Homo sapiens 	1.14.13.159	
1xil	Homo sapiens 	1.15.1.1	
4dz0	Homo sapiens 	1.16.3.1	
2q6c	Homo sapiens 	1.1.1.34	
2q6b	Homo sapiens 	1.1.1.34	
3cyn	Homo sapiens 	1.11.1.9	
3sz9	Homo sapiens 	1.2.1.3	
3cyi	Homo sapiens Human	1.8.98.2	
2bzs	Homo sapiens 	1.10.99.2	
2bzn	Homo sapiens 	1.7.1.7	
3prj	Homo sapiens 	1.1.1.22	
3swz	Homo sapiens 	1.14.99.9	
3r58	Homo sapiens 	1.1.1.112	
3r58	Homo sapiens 	1.1.1.188	
3r58	Homo sapiens 	1.1.1.213	
3r58	Homo sapiens 	1.1.1.239	
3r58	Homo sapiens 	1.1.1.64	
3r58	Homo sapiens 	1.3.1.20	
1xi2	Homo sapiens 	1.10.99.2	
2ot7	Homo sapiens 	1.14.11	
1azv	Homo sapiens 	1.15.1.1	
1xgd	Homo sapiens 	1.1.1.21	
4dvq	Homo sapiens 	1.14.15.4	
4dvq	Homo sapiens 	1.14.15.5	
1kmv	Homo sapiens 	1.5.1.3	
2byd	Homo sapiens 	1.2.1.31	
1qyx	Homo sapiens 	1.1.1.62	
1kms	Homo sapiens 	1.5.1.3	
1qyw	Homo sapiens 	1.1.1.62	
2byb	Homo sapiens 	1.4.3.4	
1qyv	Homo sapiens 	1.1.1.62	
2bxv	Homo sapiens 	1.3.5.2	
1kmg	Homo sapiens 	1.15.1.1	
1nsi	Homo sapiens 	1.14.13.39	
3r43	Homo sapiens 	1.1.1.112	
3r43	Homo sapiens 	1.1.1.188	
3r43	Homo sapiens 	1.1.1.213	
3r43	Homo sapiens 	1.1.1.239	
3r43	Homo sapiens 	1.1.1.64	
3r43	Homo sapiens 	1.3.1.20	
2bxs	Homo sapiens 	1.4.3.4	
2bxr	Homo sapiens 	1.4.3.4	
2os2	Homo sapiens 	1.14.11	
2q50	Homo sapiens 	1.1.1.79	
2q50	Homo sapiens 	1.1.1.81	
1hfr	Homo sapiens 	1.5.1.3	
1hfq	Homo sapiens 	1.5.1.3	
1hfp	Homo sapiens 	1.5.1.3	
2q3e	Homo sapiens 	1.1.1.22	
2yde	Homo sapiens 	1.14.11	
2yde	Homo sapiens 	1.14.11.30	
1nrg	Homo sapiens 	1.4.3.5	
2ll7	Homo sapiens 	1.14.13.39	
2opw	Homo sapiens 	1.14.11	
2ll6	Homo sapiens 	1.14.13.39	
4anp	Homo sapiens 	1.14.16.1	
2bwg	Homo sapiens 	1.7.1.7	
1az2	Homo sapiens 	1.1.1.21	
1az1	Homo sapiens 	1.1.1.21	
3cuk	Homo sapiens 	1.4.3.3	
1xf0	Homo sapiens 	1.1.1.112	
1xf0	Homo sapiens 	1.1.1.188	
1xf0	Homo sapiens 	1.1.1.213	
1xf0	Homo sapiens 	1.1.1.239	
1xf0	Homo sapiens 	1.1.1.64	
1xf0	Homo sapiens 	1.3.1.20	
3e7g	Homo sapiens 	1.14.13.39	
1s9c	Homo sapiens 	1.1.1	
2oq7	Homo sapiens 	1.14.11.27	
2oq6	Homo sapiens 	1.14.11	
1hdz	Homo sapiens 	1.1.1.1	
1hdy	Homo sapiens 	1.1.1.1	
1hdx	Homo sapiens 	1.1.1.1	
1xdc	Homo sapiens 	1.15.1.1	
2q32	Homo sapiens 	1.14.99.3	
